label,qname,qdcount,ancount,arcount,nscount,qd_qname_len,qd_qname_shannon,qd_qtype,an_rrname_len,an_rrname_shannon,an_type,an_ttl,an_rdata_len,an_rdata_shannon,ar_rrname_len,ar_rrname_shanonn,ar_type,ar_rdata_len,ar_rdata_shannon
1,q+Z8DHwkCIhBkYipuZR06xmVvOxMW11cPKISN2fC6nSkN05OrExR3yohkmKzrSD.n2bVANECE5n6Q3do7+Vtv4FJlKWS9Tai1BAb/Q64bscKWWhX/Uh6Y0Vq80RxUEe.Zeq12CX3+cQheYaIv5cPgOIU1zIffMNvjT3cIlqJPF61MzG8uW.hidemyself.org.,1,0,0,0,194,5.85983339910298,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z7+HwQBA.hidemyself.org.,1,1,0,0,26,4.363713275750189,16,26,4.363713275750189,16,3,2,1.0,0,0,0,0,0
1,q+Z7+XwRBA.hidemyself.org.,1,1,0,0,26,4.363713275750189,16,26,4.363713275750189,16,3,2,1.0,0,0,0,0,0
1,q+Z7+nwSCA3XJ1VsTuezKx1BN9E98GZDme8y76RaHS99u8yJUWkvK+9DxnPwXtZ.Hu56OVBishfnj0hiEstoPPZXvxIDrwKN0MFXqpzS347hyv12FcWxLN2GsFeU9o/.VEwqYaNdsWx3Dq4LzKGKgA/0rrW11OUgxIDlCL33JPLAUknTxD.hidemyself.org.,1,1,0,0,194,5.8315515051956455,16,194,5.8315515051956455,16,3,2,1.0,0,0,0,0,0
1,q+Z8DXwlBA.hidemyself.org.,1,0,0,0,26,4.363713275750189,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z7+3wTCJsscxTjiZFc7QNOGhPUyR3rxckW7yGyayIsX2dQ2A6n5kSyO0u3U38.JPhv+4DW9SvLxPQyJ6iTJvkJ/pkimt1ZYX1X+wTOpfJAWQWkmrUKfQPmv1w+H9L.moyOcE6ZNjrIK+zoT3Phg25yGfKNI/jeQ3ApZ/Ms8nnkyDEvAx.hidemyself.org.,1,1,0,0,194,5.729455487401842,16,194,5.729455487401842,16,3,2,1.0,0,0,0,0,0
1,q+Z7/HwUCLPrd5zXbHG3mEYKgMQWYCiulOlmhk7IXCPQ5SThOanGSZFz1hV9coX.LGEEWUNwVS2uGro20OQvTc4W56bQ+LKL5mp403Gs5hZjjOTABmmekPckT4Rn+mZ.Zd/XZF9L+flWWcEyacuMu1Ydy+vBbk+fz+PvENZsyW+/xJ2vrc.hidemyself.org.,1,1,0,0,194,5.769814843269379,16,194,5.769814843269379,16,3,2,1.0,0,0,0,0,0
1,q+Z8DnwmBA.hidemyself.org.,1,0,0,0,26,4.363713275750189,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z7/XwVCCqMMwEl/xa6cpPTDHUxp00v4izQCo7WUIjpKFHhiortiZ0MJiHhbSu.HswNbuVTgAz2cHCItd1XKk04cRapeQ8SU3HhRlI9pWwqctiIpqr1yUhopY1npeM.xdjcfl/TEREo43B+yxOTpNtFr75+Uy5dVGx2jy3+CPbwj44Vrb.hidemyself.org.,1,1,0,0,194,5.776282712014854,16,194,5.776282712014854,16,3,2,1.0,0,0,0,0,0
1,q+Z7/nwWCODzomMDmxpueZA6mb08D1bw3CvsFlrDkTRN0NyK1QVq6sWna+UVP43.3rNM07Rptaoc4MVa6OIa1vw/hje5UmW8+AMF/UkPR6UhFwY6d4uQdT4aI9Wyzze.L/8drt+kaK6mH1HbWkADZ2IgB01BwPimQsM5dYgw3Qtyxcx4su.hidemyself.org.,1,1,0,0,194,5.7674352067536505,16,194,5.7674352067536505,16,3,2,1.0,0,0,0,0,0
