label,qname,qdcount,ancount,arcount,nscount,qd_qname_len,qd_qname_shannon,qd_qtype,an_rrname_len,an_rrname_shannon,an_type,an_ttl,an_rdata_len,an_rdata_shannon,ar_rrname_len,ar_rrname_shanonn,ar_type,ar_rdata_len,ar_rdata_shannon
2,2guY29tLGhtYWMtbWQ1LTk2LWV0bUBvcGVuc3NoLmNvbSxobWFjLW1kNSxobWFj.LXJpcGVtZDE2MCxobWFjLXJpcGVtZDE2MEBvcGVuc3NoLmNvbSxobWFjLXNoYTE.tOTYsaG1hYy1tZDUtOTYAAAGSdW1hYy02NC1ldG1Ab3BlbnNzaC5jb20sdW1hYy.0xMjgtZXRtQG9wZW5zc2.9.f.1.18675.tunnel.example.org.,1,0,0,0,244,5.517001015279706,5,0,0,0,0,0,0,0,0,0,0,0
2,guY29tLGhtYWMtc2hhMi0yNTYtZXRtQG9wZW5zc2guY29tLGhtYWMtc2hhMi01M.TItZXRtQG9wZW5zc2guY29tLGhtYWMtc2hhMS1ldG1Ab3BlbnNzaC5jb20sdW1h.Yy02NEBvcGVuc3NoLmNvbSx1bWFjLTEyOEBvcGVuc3NoLmNvbSxobWFjLXNoYTI.tMjU2LGhtYWMtc2hhMi0.10.f.1.6302.tunnel.example.org.,1,0,0,0,244,5.327414792510064,5,0,0,0,0,0,0,0,0,0,0,0
2,1MTIsaG1hYy1zaGExLGhtYWMtbWQ1LWV0bUBvcGVuc3NoLmNvbSxobWFjLXJpcG.VtZDE2MC1ldG1Ab3BlbnNzaC5jb20saG1hYy1zaGExLTk2LWV0bUBvcGVuc3NoL.mNvbSxobWFjLW1kNS05Ni1ldG1Ab3BlbnNzaC5jb20saG1hYy1tZDUsaG1hYy1y.aXBlbWQxNjAsaG1hYy1y.11.f.1.7392.tunnel.example.org.,1,0,0,0,244,5.340730610295759,5,0,0,0,0,0,0,0,0,0,0,0
2,aXBlbWQxNjBAb3BlbnNzaC5jb20saG1hYy1zaGExLTk2LGhtYWMtbWQ1LTk2AAA.AGm5vbmUsemxpYkBvcGVuc3NoLmNvbSx6bGliAAAAGm5vbmUsemxpYkBvcGVuc3.NoLmNvbSx6bGliAAAAAAAAAAAAAAAAAAAAAAAAAAAA.12.f.1.4445.tunnel.example.org.,1,0,0,0,202,4.944823103211416,5,0,0,0,0,0,0,0,0,0,0,0
2,aXBlbWQxNjBAb3BlbnNzaC5jb20saG1hYy1zaGExLTk2LGhtYWMtbWQ1LTk2AAA.AGm5vbmUsemxpYkBvcGVuc3NoLmNvbSx6bGliAAAAGm5vbmUsemxpYkBvcGVuc3.NoLmNvbSx6bGliAAAAAAAAAAAAAAAAAAAAAAAAAAAA.12.f.1.4445.tunnel.example.org.,1,1,0,1,202,4.944823103211416,5,19,3.5368867237421693,5,60,7,2.5216406363433186,0,0,0,0,0
2,b.e.1.16295.tunnel.example.org.,1,0,0,0,31,3.868664553793222,16,0,0,0,0,0,0,0,0,0,0,0
2,b.e.1.16295.tunnel.example.org.,1,1,0,1,31,3.868664553793222,16,19,3.5368867237421693,16,60,1,-0.0,0,0,0,0,0
2,c.1.2427.tunnel.example.org.,1,0,0,0,28,3.8693312611115185,16,0,0,0,0,0,0,0,0,0,0,0
2,c.1.2427.tunnel.example.org.,1,1,0,1,28,3.8693312611115185,16,19,3.5368867237421693,16,60,1,-0.0,0,0,0,0,0
2,3.d.1.9812.tunnel.example.org.,1,0,0,0,30,3.8933448637229624,16,0,0,0,0,0,0,0,0,0,0,0
2,3.d.1.9812.tunnel.example.org.,1,1,0,1,30,3.8933448637229624,16,19,3.5368867237421693,16,60,2,1.0,0,0,0,0,0
2,2.d.1.47331.tunnel.example.org.,1,0,0,0,31,3.9088294730782716,16,0,0,0,0,0,0,0,0,0,0,0
2,2.d.1.47331.tunnel.example.org.,1,1,0,1,31,3.9088294730782716,16,19,3.5368867237421693,16,60,2,1.0,0,0,0,0,0
2,1.d.1.25897.tunnel.example.org.,1,0,0,0,31,3.9733456021105296,16,0,0,0,0,0,0,0,0,0,0,0
2,1.d.1.25897.tunnel.example.org.,1,1,0,1,31,3.9733456021105296,16,19,3.5368867237421693,16,60,2,1.0,0,0,0,0,0
2,0.d.1.18004.tunnel.example.org.,1,0,0,0,31,3.819962134298805,16,0,0,0,0,0,0,0,0,0,0,0
2,0.d.1.18004.tunnel.example.org.,1,1,0,1,31,3.819962134298805,16,19,3.5368867237421693,16,60,1,-0.0,0,0,0,0,0
2,d.e.1.48773.tunnel.example.org.,1,0,0,0,31,3.868664553793222,16,0,0,0,0,0,0,0,0,0,0,0
2,d.e.1.48773.tunnel.example.org.,1,1,0,1,31,3.868664553793222,16,19,3.5368867237421693,16,60,1,-0.0,0,0,0,0,0
2,c.1.13046.tunnel.example.org.,1,0,0,0,29,3.9523029776623866,5,0,0,0,0,0,0,0,0,0,0,0
2,c.1.13046.tunnel.example.org.,1,1,0,1,29,3.9523029776623866,5,19,3.5368867237421693,5,60,2,1.0,0,0,0,0,0
2,AAAALAYeAAAAIKnM8pZYLobqJasFBuLtGfIXx1071ZG+9t3GAqesnoMuAAAAAAA.A.0.b.1.57051.tunnel.example.org.,1,0,0,0,97,4.6852021151112515,5,0,0,0,0,0,0,0,0,0,0,0
2,AAAALAYeAAAAIKnM8pZYLobqJasFBuLtGfIXx1071ZG+9t3GAqesnoMuAAAAAAA.A.0.b.1.57051.tunnel.example.org.,1,1,0,1,97,4.6852021151112515,5,19,3.5368867237421693,5,60,4,1.5,0,0,0,0,0
2,b.e.1.64428.tunnel.example.org.,1,0,0,0,31,3.868664553793222,16,0,0,0,0,0,0,0,0,0,0,0
2,b.e.1.64428.tunnel.example.org.,1,1,0,1,31,3.868664553793222,16,19,3.5368867237421693,16,60,1,-0.0,0,0,0,0,0
2,c.1.48935.tunnel.example.org.,1,0,0,0,29,4.021268494903766,5,0,0,0,0,0,0,0,0,0,0,0
